0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:39 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:39 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:47 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 714
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:32:47 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 315
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:36:39 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:36:39 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:58 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:58 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:58 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 200 174203
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:37:59 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:39:00 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:39:00 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:39:00 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:39:00 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 200 14947
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:30 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:30 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:30 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:30 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:43 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:43 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:43 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:43 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:58 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:58 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 362
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:58 +0530] "GET /TaskManagerChecklist/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:40:58 +0530] "GET /TaskManagerChecklist/images/list.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:42:21 +0530] "GET /TaskManagerChecklist/Home.jsp HTTP/1.1" 200 696
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:42:21 +0530] "GET /TaskManagerChecklist/home.css HTTP/1.1" 200 363
